2025-09-25 12:22:35 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:22:35 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:22:38 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:22:41 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:22:41 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:22:44 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:22:54 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:22:54 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:22:57 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:37:59 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:37:59 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:38:02 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:38:04 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:38:04 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:38:07 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:38:08 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:38:09 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:38:12 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:38:19 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:38:19 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:38:22 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:38:36 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:38:36 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:38:39 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:38:49 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:38:49 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:38:52 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:39:04 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:39:04 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:39:07 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:39:17 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:39:17 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:39:20 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:39:34 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:39:34 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:39:37 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:39:49 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:39:49 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:39:52 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:40:06 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:40:07 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:40:10 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:40:18 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:40:18 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:40:21 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:41:03 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:41:03 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:41:06 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:42:03 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:42:03 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:42:06 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 12:43:03 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
2025-09-25 12:43:03 | api_servers_status | 0 | Ubuntu(Nginx) | 192.168.9.59 | ONLINE
2025-09-25 12:43:06 | api_servers_status | 4 | Ubuntu(Nginx) | 198.168.9.68 | OFFLINE
2025-09-25 13:05:51 | api_servers_status | 5 | Google.com | 10.163.129.108 | OFFLINE
